movie,genre,runtime,certificate,rating,stars,description,votes,director
Efter brylluppet,Drama            ,120 min,R,7.7,"['Mads Mikkelsen, ', 'Sidse Babett Knudsen, ', 'Rolf Lassgård, ', 'Neeral Mulchandani', '']","A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.",$0.41M,['Susanne Bier']
Kiss of the Spider Woman,Drama            ,120 min,,7.3,"['William Hurt, ', 'Raul Julia, ', 'Sonia Braga, ', 'José Lewgoy', '']",A gay man and a political prisoner are together in a prison. The gay man narrates the stories of two fake movies and his own life.,$17.04M,['Hector Babenco']
Dogdugun Ev Kaderindir,Drama            ,120 min,,6,"['Demet Özdemir, ', 'Zuhal Gencer, ', 'Senan Kara, ', 'Fatih Koyunoglu', '']",The house where you were born even decides who you love and who you marry. First the mothers take the pen in his hand and start writing.,"2,143",
Vento Seco,Drama            ,110 min,,6.4,"['Leandro Faria Lelo, ', 'Allan Jacinto Santana, ', 'Renata Carvalho, ', 'Rafael Theophilo', '']","The area around Catalan in Brazil's state of Goiás is dry, very dry. Sandro's life here is just as dry--somewhat monotonous. He works in a fertilizer factory and divides his days between ...                See full summary »
","1,170",['Daniel Nolasco']
De Droom van de Jeugd,Drama            ,,,7.7,"['Mark Rietman, ', 'Tamar van den Dop, ', 'Peter Paul Muller, ', 'Jacob Derwig', '']","Childhood Dreams is a family saga, starting in the tumultuous 1960s, charting the bittersweet journey of a family as they navigate the water of love, loss, and life over several generations.",149,
For the People,Drama            ,43 min,,7.3,"['Hope Davis, ', 'Ben Shenkman, ', 'Jasmin Savoy Brown, ', 'Susannah Flood', '']","Set in the Southern District of New York Federal Court, brand-new lawyers work for both the defense and the prosecution as they handle the most high-profile and high-stakes cases in the country--all as their personal lives intersect.","6,174",
A Vida Invisível,Drama            ,139 min,R,7.7,"['Julia Stockler, ', 'Carol Duarte, ', 'Flávia Gusmão, ', 'António Fonseca', '']","Kept apart by a terrible lie and a conservative society, two sisters born in Rio de Janeiro make their way through life each believing the other is living out her dreams half a world away.","9,212",['Karim Aïnouz']
Queer,Drama            ,,,,"['Daniel Craig, ', 'Jason Schwartzman, ', 'Lesley Manville, ', 'Drew Starkey', '']","Lee, who recounts his life in Mexico City among American expatriate college students and bar owners surviving on part-time jobs and GI Bill benefits. He driven to pursue a young man named Allerton, who is based on Adelbert Lewis Marker.",,['Luca Guadagnino']
Away from Her,Drama            ,110 min,PG-13,7.5,"['Julie Christie, ', 'Michael Murphy, ', 'Gordon Pinsent, ', 'Stacey LaBerge', '']","A man coping with the institutionalization of his wife because of Alzheimer's disease faces an epiphany when she transfers her affections to another man, Aubrey, a wheelchair-bound mute who also is a patient at the nursing home.",$4.57M,['Sarah Polley']
La notte,Drama            ,122 min,,8,"['Jeanne Moreau, ', 'Marcello Mastroianni, ', 'Monica Vitti, ', 'Bernhard Wicki', '']",A day in the life of an unfaithful married couple and their steadily deteriorating relationship.,$0.04M,['Michelangelo Antonioni']
Downtown Owl,Drama            ,91 min,,6.7,"['Lily Rabe, ', 'Vanessa Hudgens, ', 'Ed Harris, ', 'Henry Golding', '']","Based on the novel by Chuck Klosterman, Downtown Owl is a sparkle dark Reagan Era comedy set in the fictional town of Owl, North Dakota in the leading days up to the region's blizzard in Minnesota's century.",21,
Sauvage,Drama            ,99 min,,7,"['Félix Maritaud, ', 'Farid-Eric Bernard, ', 'Nicolas Dibla, ', 'Philippe Ohrel', '']","Leo is 22 and sells his body on the street for a bit of cash. The men come and go, and he stays right here - longing for love. He doesn't know what the future will bring. He hits the road. His heart is pounding.",$0.06M,['Camille Vidal-Naquet']
Vivre sa vie: Film en douze tableaux,Drama            ,80 min,,7.8,"['Anna Karina, ', 'Sady Rebbot, ', 'André S. Labarthe, ', 'Guylaine Schlumberger', '']",Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,"33,767",['Jean-Luc Godard']
Nelyubov,Drama            ,127 min,R,7.6,"['Maryana Spivak, ', 'Aleksey Rozin, ', 'Matvey Novikov, ', 'Marina Vasileva', '']",A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,$0.57M,['Andrey Zvyagintsev']
Hot Milk,Drama            ,,,,"['Emma Mackey, ', 'Fiona Shaw, ', 'Vicky Krieps', '']","With a strange illness, a mother and her daughter embark on a journey to the Spanish coast to find a cure, and along the way the daughter discovers another reality far from her controlling mother.",,['Rebecca Lenkiewicz']
Kördügüm,Drama            ,140 min,13,6.6,"['Ibrahim Celikkol, ', 'Alican Yücesoy, ', 'Belçim Bilgin, ', 'Rojda Demirer', '']","Ali Nejat Karasu is a former race-driver and a playboy turned into a businessman. He runs Karas Holdings which is part of a group his father built while making a fortune in ship building. ...                See full summary »
","1,391",
Bad Class,Drama            ,106 min,,7.4,,"Ji-eun has a bad impression of men due to bad experiences with her father but her mom Hyeon-ah convinces her into getting tuition from an art student. Jeong-woo is surprised at how cold she...                See full summary »
",61,['Han Dong-ho']
Driveways,Drama            ,83 min,,7.2,"['Lucas Jaye, ', 'Hong Chau, ', 'Brian Dennehy, ', 'Laurent Rejto', '']","A lonesome boy accompanies his mother on a trip to clean out his late aunt's house, and ends up forming an unexpected friendship with the retiree who lives next door.","6,002",['Andrew Ahn']
Black Justice,Drama            ,214 min,,9.5,"['Alok Nath Pathak, ', 'Priya Gamre Amar, ', 'Virdi Supriya Singh, ', 'Aftab Karim', '']",Pandey aka J.P. is practicing lawyer in sessions court and supreme court of India. JP is very honest whose only aim is to speak for the justice. J.P. decides to file a PIL for the reforms in current judicial system.,96,
Murina,Drama            ,96 min,,6.8,"['Gracija Filipovic, ', 'Leon Lucev, ', 'Danica Curcic, ', 'Cliff Curtis', '']",A teenage girl decides to replace her controlling father with his wealthy foreign friend during a weekend trip to the Adriatic Sea.,"2,759",['Antoneta Alamat Kusijanovic']
Lioness,Drama            ,,,,"['Atungsiri Bertrand, ', 'Claudia Fonguh, ', 'Michael Fonyuy, ', 'Neh Hotance', '']","Add a Plot
",,['Wasi Fathes']
La strada,Drama            ,108 min,,8,"['Anthony Quinn, ', 'Giulietta Masina, ', 'Richard Basehart, ', 'Aldo Silvani', '']","A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.","65,146",['Federico Fellini']
The Palace,Drama            ,,,,"['Andrea Riseborough, ', 'Donald Sage Mackay, ', 'Guillaume Gallienne, ', 'Louie Mynett', '']",An authoritarian regime is about to unravel. Follows a story of one year within the walls of its palace.,,
The Spitfire Grill,Drama            ,117 min,PG-13,7,"['Alison Elliott, ', 'Ellen Burstyn, ', 'Marcia Gay Harden, ', 'Will Patton', '']","Oscar-winner Ellen Burstyn (The Exorcist) headlines this critically praised drama about a young woman, just out of prison, who finds spiritual redemption working at a cafe in Maine.",$12.64M,['Lee David Zlotoff']
The Tattooist of Auschwitz,Drama            ,,,,"['Jonah Hauer-King, ', 'Melanie Lynskey, ', 'Avital Lvova, ', 'Andrei Nova', '']","Based on the eponymously titled novel, this is the powerful real-life story of Lale Sokolov, a Jewish prisoner who was tasked with tattooing ID numbers on prisoners' arms in the Auschwitz-Birkenau concentration camp during World War Two.",,
Three Women,Drama            ,,,,"['Shailene Woodley, ', 'Betty Gilpin, ', 'DeWanda Wise, ', 'Gabrielle Creevy', '']","This is an intimate, moving, uplifting portrait of real women reclaiming their lives for themselves.",,
Everything Is Both,Drama            ,81 min,,8.6,"['Jason Mitchell, ', 'Barton Fitzpatrick, ', 'J.J. Green, ', 'Stakiah Lynn Washington', '']",It follows Dysha as she runs for her life and depends on a mysterious stranger to escape danger and pull off the biggest score of her life.,28,['Ceth Watson']
Norwegian Dream,Drama            ,97 min,,6.7,"['Øyvind Brandtzæg, ', 'Izabella Dudziak, ', 'Runar Koteng Frønes, ', 'Hubert Milkowski', '']","A 19-year-old Polish immigrant working at a fish factory in Norway has feelings for his colleague. A strike begins among the Polish workers at the factory testing their relationship, and with their fellow workers.",210,['Leiv Igor Devold']
"Grandview, U.S.A.",Drama            ,97 min,,5.4,"['Jamie Lee Curtis, ', 'C. Thomas Howell, ', 'Patrick Swayze, ', 'Troy Donahue', '']","With only a week left before graduation, a young dreamer itches to renounce an uninspiring scholarship, stand up to his despotic father and pursue a career in oceanography. But, has anyone ever spread his wings away from Grandview, U.S.A.?",$4.74M,['Randal Kleiser']
Hemel,Drama            ,80 min,,5.7,"['Hannah Hoekstra, ', 'Hans Dagelet, ', 'Mark Rietman, ', 'Barbara Sarafian', '']","A promiscuous young woman struggles with her emotions when the one man she cares deeply about, her equally restless father, finally finds true love.","1,712",['Sacha Polak']
Nostalgia,Drama            ,117 min,,6.8,"['Pierfrancesco Favino, ', 'Francesco Di Leva, ', 'Tommaso Ragno, ', 'Aurora Quattrocchi', '']","After 40 years of absence, Felice returns to his hometown: Naples. He rediscovers the places, the codes of the city and a past that eats away at him.","2,507",['Mario Martone']
Julia,Drama            ,117 min,U,7.1,"['Jane Fonda, ', 'Vanessa Redgrave, ', 'Jason Robards, ', 'Maximilian Schell', '']","At the behest of an old and dear friend, playwright Lillian Hellman undertakes a dangerous mission to smuggle funds into Nazi Germany.","10,153",['Fred Zinnemann']
The Black Velvet Gown,Drama            ,103 min,,6.9,"['Bob Peck, ', 'Janet McTeer, ', 'Geraldine Somerville, ', 'Brendan P. Healy', '']","In the 1830's in northern England, Riah Millican, a widow with three children, takes a job as housekeeper to a reclusive former teacher, Percival Miller. Miller makes Riah the gift of a ...                See full summary »
",639,['Norman Stone']
The Rain People,Drama            ,101 min,,6.8,"['James Caan, ', 'Shirley Knight, ', 'Robert Duvall, ', 'Marya Zimmet', '']","When a housewife finds out she is pregnant, she runs out of town looking for freedom to reevaluate her life decisions.",$0.16M,['Francis Ford Coppola']
Montana Story,Drama            ,114 min,R,6.5,"['Haley Lu Richardson, ', 'Owen Teague, ', 'Gilbert Owuor, ', 'Kimberly Guerrero', '']","Two estranged siblings return home to the sprawling ranch they once knew and loved, confronting a deep and bitter family legacy against a mythic American backdrop.","2,946",
The Wrong Wife,Drama            ,,,6.4,"['Mark Stauffer, ', 'Lynn Winkle', '']",Lexi has been keeping a steamy and erotic secret from Kyle for a long period of time. Sexual passion drives the human soul as she reluctantly reveals the details of her sexy indiscretions.,78,['Jacob Hutton']
"4 luni, 3 saptamâni si 2 zile",Drama            ,113 min,,7.9,"['Anamaria Marinca, ', 'Laura Vasiliu, ', 'Vlad Ivanov, ', 'Alexandru Potocean', '']",A woman assists her friend in arranging an illegal abortion in 1980s Romania.,$1.19M,['Cristian Mungiu']
El deseo de Ana,Drama            ,79 min,,6.2,"['Laura Agorreca, ', 'David Calderón León, ', 'Ian Garcia Monterrubio, ', 'Simone Bucio', '']","After years of absence Juan returns to Ana, his older sister. Both have changed, but none of them has been able to overcome the love affair they lived in their youth that marked them forever.",83,['Emilio Santoyo']
Lady in the Lake,Drama            ,,,,"['Natalie Portman, ', 'David Corenswet, ', 'Bianca Berry Tarantino, ', 'Moses Ingram', '']",Based on the Laura Lippman novel.,,
The Beautiful Lie,Drama            ,60 min,,7.4,"['Sarah Snook, ', 'Rodger Corser, ', 'Sophie Lowe, ', 'Celia Pacquola', '']",Anna is happily married. She has the perfect family. But one man will change it all.,"1,349",
Grey Matter,Drama            ,,,,"['Elizabeth Berrington, ', 'Stephanie Beacham, ', 'Kierston Wareing, ', 'Harry Kirton', '']","When Chloe's Nan gets diagnosed with Alzheimer's, she's forced to become a stay-at-home teenager overnight.",,['Arabella Burfitt-Dons']
Born Innocent,Drama            ,98 min,,6.2,"['Linda Blair, ', 'Joanna Miles, ', 'Allyn Ann McLerie, ', 'Mary Murphy', '']",Young girl runs away from her abusive family only to end up in a juvenile detention center for girls where she's raped and brutalized by her sadistic peers. Only one honest social worker shows interest in helping her.,"1,119",['Donald Wrye']
La luna,Drama            ,142 min,A,6.4,"['Jill Clayburgh, ', 'Matthew Barry, ', 'Veronica Lazar, ', 'Renato Salvatori', '']","While touring in Italy, a recently-widowed American opera singer has an incestuous relationship with her 15-year-old son to help him overcome his heroin addiction.","5,178",['Bernardo Bertolucci']
Hamlet,Drama            ,135 min,U,6.7,"['Mel Gibson, ', 'Glenn Close, ', 'Alan Bates, ', 'Paul Scofield', '']","Hamlet, Prince of Denmark, finds out that his uncle Claudius killed his father to obtain the throne, and plans revenge.",$20.71M,['Franco Zeffirelli']
La Mujer del Diablo,Drama            ,60 min,,8.2,"['Carolina Miranda, ', 'José Ron, ', 'Adriana Louvier, ', 'Mónica Dionne', '']",Natalia is a school teacher who wants to dedicate herself to local tourism. Cristo is a criminal who pretends to be a benefactor to those in need. Cristo becomes obsessed with Natalia and does unimaginable things to win her over.,114,
Radio Flyer,Drama            ,114 min,U,6.9,"['Lorraine Bracco, ', 'John Heard, ', 'Adam Baldwin, ', 'Elijah Wood', '']",A father recounts a dark period of his childhood when he and his little brother lived in the suburbs.,$4.65M,
Novitiate,Drama            ,123 min,R,6.7,"['Melissa Leo, ', 'Lisa Stewart, ', 'Alyssa Brindley, ', 'Chelsea Lopez', '']","Set in the early 1960s and during the era of Vatican II, a young woman in training to become a nun struggles with issues of faith, the changing church and sexuality.",$0.58M,['Maggie Betts']
En los márgenes,Drama            ,105 min,,6.6,"['Penélope Cruz, ', 'Luis Tosar, ', 'Christian Checa, ', 'Aixa Villagrán', '']",Interwoven stories told over the course of one day.,"1,718",['Juan Diego Botto']
Badmaash Babes,Drama            ,94 min,,6.7,"['Bhumika Gurung, ', 'Pratibha Phogat, ', 'Chandni Srivastava', '']","When the stripper from Alisha's bachelor party is found dead the next morning, the high society lives of best friends Alisha, Maya and Zee go through a roller coaster ride.",10,['Ajay V.']
Laruan,Drama            ,86 min,,5.9,"['Franki Russell, ', 'Jay Manalo, ', 'Kiko Estrada, ', 'Ava Mendez', '']","Camille, Rene's wife, always invites her other man, Geoff, over dinner for them to make out in the house. But when a new woman, Thea, enters the picture, Camille's wild and crazy game play changes.",492,['Yam Laranas']
Kus Uçusu,Drama            ,45 min,UA 16+,6.3,"['Birce Akalay, ', 'Miray Daner, ', 'Ibrahim Celikkol, ', 'Burak Yamantürk', '']","A young fan maneuvers her way into a seasoned anchor's newsroom but soon confronts the dark side of ambition, envy and the desire to be seen.","5,030",
The Namesake,Drama            ,122 min,U,7.5,"['Kal Penn, ', 'Irrfan Khan, ', 'Tabu, ', 'Jacinda Barrett', '']","American-born Gogol, the son of Indian immigrants, wants to fit in among his fellow New Yorkers, despite his family's unwillingness to let go of their traditional ways.",$8.66M,['Mira Nair']
Las oscuras primaveras,Drama            ,100 min,,6.2,"['José María Yazpik, ', 'Cecilia Suárez, ', 'Irene Azuela, ', 'Hayden Meyenberg', '']","Igor is a plumber; Pina serves coffee. It is winter and they both deeply desire each other, but they are not free. In trying to figure out how to realize their love, she decides to make a ...                See full summary »
",648,['Ernesto Contreras']
The Half Life of Timofey Berezin,Drama            ,97 min,R,6.7,"['Paddy Considine, ', 'Oscar Isaac, ', 'Valeriu Pavel Dan, ', 'Kenneth Bryans', '']","A worker at a Russian nuclear facility gets exposed to a lethal dose of radiation. In order to provide for his family, he steals some plutonium and sets out to sell it on Moscow's black market with the help of an incompetent criminal.","4,051",['Scott Z. Burns']
Dirty Sexy Money,Drama            ,45 min,U,7.2,"['Peter Krause, ', 'Donald Sutherland, ', 'William Baldwin, ', 'Natalie Zea', '']",A lawyer is forced to take care of one of New York City's wealthiest families.,"12,091",
Lip Service,Drama            ,60 min,,7.5,"['Fiona Button, ', 'Heather Peace, ', 'James Anthony Pearson, ', ""Natasha O'Keeffe"", '']","Sex, lies and true love in modern Scotland. Following the lives and loves of a group of twenty-something lesbians living in Glasgow.","4,471",
Os Outros,Drama            ,50 min,,8.3,"['Adriana Esteves, ', 'Milhem Cortaz, ', 'Maeve Jinkings, ', 'Thomas Aquino', '']","Add a Plot
",420,
Fanfik,Drama            ,95 min,,5.6,"['Alin Szewczyk, ', 'Jan Cieciara, ', 'Dobromir Dymecki, ', 'Wiktoria Kruszczynska', '']",Two high school students form an intense connection as they navigate the challenges of discovering and expressing their truest selves.,755,['Marta Karwowska']
Maharani,Drama            ,43 min,A,7.9,"['Uday Atroliya, ', 'Huma Qureshi, ', 'Sohum Shah, ', 'Kani Kusruti', '']","CM Rani Bharti is accused of misgovernance and 'jungle raj' in the state. With the crumbling political scenario and constant opposition, will she succeed in this game of power?","8,636",
Foxes,Drama            ,106 min,A,6.1,"['Jodie Foster, ', 'Cherie Currie, ', 'Marilyn Kagan, ', 'Kandice Stroh', '']","A group of four teenage girls come of age in the asphalt desert of Los Angeles' San Fernando Valley arranged with a blazing soundtrack and endless drinking, drugs and sex.","4,821",['Adrian Lyne']
Paradise Alley,Drama            ,107 min,,5.7,"['Sylvester Stallone, ', 'Lee Canalito, ', 'Armand Assante, ', 'Frank McRae', '']","Three Italian-American brothers, living in the slums of 1940's New York City, try to help each other with one's wrestling career using one brother's promotional skills and another brother's con-artist tactics to thwart a sleazy manager.","5,672",['Sylvester Stallone']
Escaping My Stalker,Drama            ,,,4.8,"['Ezmie Garcia, ', 'Andrew James Allen, ', 'Alexandra Paul, ', 'Linden Ashby', '']",Adopted teen Taylor (Ezmie Garcia) finds her new life threatened when an assailant breaks into her home. Returning to the back alleys of LA to find her stalker triggers a deadly game of cat and mouse.,214,['Linden Ashby']
Harriet Craig,Drama            ,94 min,,7.3,"['Joan Crawford, ', 'Wendell Corey, ', 'Lucile Watson, ', 'Allyn Joslyn', '']",Harriet Craig enjoys married life but constantly tries to control those around her. She does not trust her husband Walter; she always check up on him.,"2,200",['Vincent Sherman']
Alias el Mexicano,Drama            ,,,8.6,"['Juan Sebastián Calero, ', 'Carolina Gaitan, ', 'Flora Martínez, ', 'Rafael Novoa', '']","Gonzalo Rodriguez Gacha, a humble young man, becomes an emerald miner to one of Colombia's most powerful drug lords.",49,
Melissa P.,Drama            ,100 min,,4.8,"['María Valverde, ', 'Letizia Ciampa, ', 'Primo Reggiani, ', 'Fabrizia Sacchi', '']","An adolescent girl, living with her mother and her grandmother, will have her first sexual experiences in a heavy and excessive way.","6,833",['Luca Guadagnino']
Radical,Drama            ,122 min,,8.6,"['Eugenio Derbez, ', 'Daniel Haddad, ', 'Jennifer Trejo, ', 'Mia Fernanda Solis', '']","Based on a true story, follows a teacher in a Mexican border town full of neglect, corruption, and violence, as he tries a radical new method to unlock their students' curiosity, potential - and maybe even their genius.",96,['Christopher Zalla']
Los herederos de la tierra,Drama            ,50 min,A,7.1,"['Yon González, ', 'Elena Rivera, ', 'Jesús Carroza, ', 'Rodolfo Sancho', '']",Resourceful young Hugo Llor works to make a name for himself in 14th-century Barcelona while keeping a vow he made to the Estanyol family.,"1,439",
Barbara,Drama            ,105 min,PG-13,7.2,"['Nina Hoss, ', 'Ronald Zehrfeld, ', 'Rainer Bock, ', 'Christina Hecke', '']",A doctor working in 1980s East Germany finds herself banished to a small country hospital.,"15,227",['Christian Petzold']
Kuzey Güney,Drama            ,90 min,,7.7,"['Kivanç Tatlitug, ', 'Bugra Gülsoy, ', 'Öykü Karayel, ', 'Mustafa Avkiran', '']","Kuzey and Güney are brothers, yet they cannot be more different, both in character and also in their perception, much like their names they are north and south. While the older brother ...                See full summary »
","10,582",
Little Buddha,Drama            ,123 min,U,6.1,"['Keanu Reeves, ', 'Bridget Fonda, ', 'Ruocheng Ying, ', 'Chris Isaak', '']","After the death of Lama Dorje, Tibetan Buddhist monks find three children - one American and two Nepalese - who may be the rebirth of their great teacher.",$4.86M,['Bernardo Bertolucci']
Shortland Street,Drama            ,30 min,,4.5,"['Michael Galvin, ', 'Ben Mitchell, ', 'Sally Martin, ', 'Ben Barrington', '']","Shortland Street, a five-night-a-week soap set in an Auckland City hospital, follows the complicated personal and professional lives of its staff, family and friends.","1,025",
Pretty Red Dress,Drama            ,110 min,,6.6,"['Natey Jones, ', 'Alexandra Burke, ', 'Temilola Olatunbosun, ', 'Tsemaye Bob-Egbe', '']",Follows a South London family and how one red dress is the center of their lives.,287,['Dionne Edwards']
Kan Çiçekleri,Drama            ,,Not Rated,7.2,"['Ekrem Aral Tuna, ', 'Nuray Serefoglu, ', 'Baris Baktas, ', 'Yagmur Yuksel', '']","Dilan and Baran are forced to marry to end a feud and save their brother, but their uncle wants to rekindle it. This conflict-filled relationship will bring strong winds between two hearts, but will it turn into a real marriage?",493,
Io capitano,Drama            ,121 min,,,"['Affif Ben Badra, ', 'Hichem Yacoubi, ', 'Princess Erika, ', 'Bamar Kane', '']","It tells the story of two young men, who leave Dakar for Europe.",,['Matteo Garrone']
Matria,Drama            ,99 min,,6.9,"['María Vázquez, ', 'Susana Sampedro, ', 'Santi Prego, ', 'Francisca Iglesias Bouzón', '']","A woman in a Galician fishing village is struggling to get by with hard work and rough charm. With her 18-year-old daughter now ready to stand on her own two feet, Ramona begins to question her life up to this point.",266,
El príncipe,Drama            ,96 min,,6.4,"['Juan Carlos Maldonado, ', 'Alfredo Castro, ', 'Gastón Pauls, ', 'Cesare Serra', '']","A '70s-set homoerotic prison drama based on a low-circulated pulp novel, tracking the sexual, often-violent and eventually murderous experiences of 20-something narcissist Jaime.","1,571",['Sebastián Muñoz']
The Servant,Drama            ,116 min,,7.8,"['Dirk Bogarde, ', 'Sarah Miles, ', 'Wendy Craig, ', 'James Fox', '']","Upper-class Tony hires servant Hugo Barrett, who turns out to have a hidden agenda.",$0.04M,['Joseph Losey']
Zee van tijd,Drama            ,116 min,,7.6,"['Sallie Harmsen, ', 'Reinout Scholten van Aschat, ', 'Elsie de Brauw, ', 'Gijs Scholten van Aschat', '']","Lucas and Johanna live in the 80s, madly in love, in a world full of dreams and ideals. Then a disastrous accident, during their sailing trip on the Atlantic, separates them. Thirty-five ...                See full summary »
",864,['Theu Boermans']
Una,Drama            ,94 min,R,6.2,"['Ruby Stokes, ', 'Rooney Mara, ', 'Riz Ahmed, ', 'Ben Mendelsohn', '']","When a young woman unexpectedly arrives at her much-older former lover's workplace, looking for answers, the secrets of their dark past threaten to unravel his new life. What follows is an ...                See full summary »
","11,145",['Benedict Andrews']
Marasli,Drama            ,120 min,,7.7,"['Burak Deniz, ', 'Alina Boz, ', 'Serhat Mustafa Kiliç, ', 'Saygin Soysal', '']","Marasli (BurakDeniz) is a retired soldier turned bookstore owner. For Marasli, life changed drastically after his daughter is shot. One day, the beautiful Mahur (AlinaBoz) enters Marasli's ...                See full summary »
","3,341",
Wild Bill,Drama            ,98 min,,7.2,"['Charlie Creed-Miles, ', 'Will Poulter, ', 'Sammy Williams, ', 'Iwan Rheon', '']","A street-toughened parolee finds his two boys abandoned by their mum and fending for themselves. Time to step up, or not.","14,169",['Dexter Fletcher']
The Jury,Drama            ,300 min,,7.7,"['Paul Bhattacharjee, ', 'Gerard Butler, ', 'Nina Sosanya, ', 'Nicholas Farrell', '']",Twelve men and women are called for jury service in the retrial of a man accused of a triple murder after the High Court overturns the original verdict.,"1,220",
The Gabby Petito Story,Drama            ,85 min,,5.4,"['Skyler Samuels, ', 'Evan Hall, ', 'Thora Birch, ', 'Douglas Taurel', '']","Follows Gabby's tragic murder, centering on her complicated relationship with her fiancé Brian Laundrie and what might have gone wrong during their cross-country trip.",541,['Thora Birch']
The Mattachine Family,Drama            ,99 min,,7.6,"['Jake Choi, ', 'Garrett Clayton, ', 'Carl Clemons-Hopkins, ', 'Juan Pablo Di Pace', '']","While Thomas and Oscar are very much in love, after their first foster child returns to his birth mother, they find that they have different ideas about what making a family actually means.",86,['Andy Vallentine']
1976,Drama            ,95 min,,6.7,"['Aline Küppenheim, ', 'Nicolás Sepúlveda, ', 'Hugo Medina, ', 'Alejandro Goic', '']","Chile, 1976. Carmen heads off to her beach house. When the family priest asks her to take care of a young man he is sheltering in secret, Carmen steps onto unexplored territories, away from the quiet life she is used to.","1,276",['Manuela Martelli']
Mia aioniotita kai mia mera,Drama            ,137 min,,7.9,"['Bruno Ganz, ', 'Isabelle Renauld, ', 'Fabrizio Bentivoglio, ', 'Ahilleas Skevis', '']","Famous writer Alexander is very ill and has little time left to live. He meets a little boy on the street, who is an illegal immigrant from Albania, and goes on a journey with him to take the boy home.",$0.11M,['Theodoros Angelopoulos']
East of Eden,Drama            ,,,,"['Jennifer Lawrence', '']","In the farmlands of the Salinas Valley in California, successive generations of two families, the Trasks and the Hamiltons, are destined to reenact the fateful story of Cain and Abel.",,['Gary Ross']
The Wayward Bus,Drama            ,87 min,,6.5,"['Joan Collins, ', 'Jayne Mansfield, ', 'Dan Dailey, ', 'Rick Jason', '']","Three strangers, a stripper, an alcoholic wife and a travelling salesman embark on a life-changing journey. As the road presents challenges, each character faces his or her own shortcomings, not knowing where life will lead next.",809,['Victor Vicas']
Concussion,Drama            ,96 min,R,5.6,"['Robin Weigert, ', 'Maggie Siff, ', 'Johnathan Tchaikovsky, ', 'Ben Shenkman', '']","After a blow to the head, Abby decides she can't do it anymore. Her life just can't be only about the house, the kids and the wife. She needs more: she needs to be Eleanor.",$0.04M,['Stacie Passon']
Indian Summers,Drama            ,52 min,,7.3,"['Henry Lloyd-Hughes, ', 'Jemima West, ', 'Julie Walters, ', 'Rick Warden', '']",Drama set in 1932 during the final years of British colonial rule in India.,"4,403",
The Secret Life of Us,Drama            ,60 min,,7.6,"['Deborah Mailman, ', 'David Tredinnick, ', 'Samuel Johnson, ', 'Sibylla Budd', '']","This iconic Australian series follows eight people living in St Kilda, Melbourne who are all looking for the same thing - love, sex, romance, success - and anything else that's worth going after.","1,404",
Courageous,Drama            ,130 min,PG-13,6.9,"['Alex Kendrick, ', 'Ken Bevel, ', 'Kevin Downes, ', 'Renee Jewell', '']","When a tragedy strikes close to home, four police officers struggle with their faith and their roles as husbands and fathers. Together they make a decision that will change all of their lives.",$34.52M,['Alex Kendrick']
Freud's Last Session,Drama            ,,,,"['Anthony Hopkins, ', 'Matthew Goode, ', 'Jodi Balfour, ', 'Orla Brady', '']","Set on the eve of WWII and towards the end of his life, Freud's Last Session sees Freud (Hopkins) invite iconic author C.S. Lewis for a debate over the existence of God. Exploring Freud's ...                See full summary »
",,['Matt Brown']
Au hasard Balthazar,Drama            ,95 min,,7.8,"['Anne Wiazemsky, ', 'Walter Green, ', 'François Lafarge, ', 'Jean-Claude Guilbert', '']",The story of a mistreated donkey and the people around him. A study on saintliness and a sister piece to Bresson's Mouchette.,$0.04M,['Robert Bresson']
Stuart: A Life Backwards,Drama            ,92 min,,7.7,"['Benedict Cumberbatch, ', 'Tom Hardy, ', 'Nicola Duffett, ', 'Claire-Louise Cordwell', '']","A writer takes a backwards look at the life of his unlikely friend, Stuart, a homeless alcoholic who experienced a traumatic childhood event.","13,259",['David Attwood']
Marfa Girl,Drama            ,105 min,,5.2,"['Adam Mediano, ', 'Drake Burnette, ', 'Jeremy St. James, ', 'Mary Farley', '']","A story centered on a directionless 16-year-old living in Marfa, Texas and his relationships with his girlfriend, his neighbor, his teacher, a newly arrived local artist, and a local Border Patrol officer.","1,766",['Larry Clark']
Le lycéen,Drama            ,122 min,,6.9,"['Paul Kircher, ', 'Vincent Lacoste, ', 'Juliette Binoche, ', 'Erwan Kepoa Falé', '']","A 17-year-old high school student trying to get to grips with the new challenges posed by death, life, the city and ""the temptation of renouncement"".","1,082",['Christophe Honoré']
On Sacred Ground,Drama            ,86 min,,5.7,"['William Mapother, ', 'David Arquette, ', 'Amy Smart, ', 'Frances Fisher', '']",A journalist and oil company executive find themselves on opposite sides of the fight during the construction of the contentious Dakota Access Pipeline that runs through the Standing Rock Indian Reservation in North Dakota.,242,
Sagrada familia,Drama            ,40 min,A,6.5,"['Najwa Nimri, ', 'Alba Flores, ', 'Álex García, ', 'Macarena Gómez', '']","A family hiding a shocking secret starts over in Madrid, where new relationships complicate their plans and the past begins to catch up with them.","2,142",
